,Bear,Cat,Jaguar,Rabbit,Lizard,Pig,Mama,Salamander,Gnu
relationship,My relationship with my father was…not good.+We didn't fight or anything but…+He was never there.+To me he was more of a…coworker…than a father.,Master Bear is a very wise and kind gentleman.+He can be very strict/c but some people here do need that strictness.,He was definitely my favorite patient.+It was hell to be around him/c true.+But a hypochondriac means consistent business.+Haha…+Well/c not anymore.,He was…nice to me.,Being his partner was profitible but…difficult.+He was very…particular about how he wanted things done.+Can't say I'm glad he's gone though.,He was my *oink* boss.,If you're looking for motive you won't find it here.+Look/c my relationship with him wasn't the best.+He…wasn't faithful.+We had a fight yesterday about him talking to one of the women in the party.+I didn't want to cause a scene so I kept it to myselft and...+I couldn't sleep next to him that night.+Maybe if I did...,I didn't really deal with him a lot/c although I get the feeling he was hard to deal with.+You should ask my husband/c he's his business partner.,He was a good boss.
fight,?,I'm not sure what the fight was about.+Maybe you should ask Mr. Lizard about it.,?,He had an argument with Madam Bear.+and another one with Mr. Lizard.+I don't really know what they were about.+Try asking them.,It was just about how to run the company.+Nothing important.{c}It was about my debt.+He wanted me to repay him in full. IN FULL.+I don't have that kind of money right now.+He threatened to sue me.+ME/c his own partner.+He didn't even need the money.,?,He was…never faithfult to me.+At this point I didn't really care anymore but..+Yesterday he was making advances on…some woman in the party.+Right in front of me.+Our marriage was always in shambles but..+To do this right here in front of everyone?!+It's disrespectfult.+We had an argument/c and of course he just denied everything.+That's it.+I didn't want to cause a scene so I kept it to myselft and...+I couldn't sleep next to him that night.+Maybe if I did...,He did have a fight with my husband about something but not sure what.,?
argument,?,I'm not sure what the fight was about.+Maybe you should ask Mr. Lizard about it.,?,He had an argument with Madam Bear.+and another one with Mr. Lizard.+I don't really know what they were about.+Try asking them.,It was just about how to run the company.+Nothing important.{c}It was about my debt.+He wanted me to repay him in full. IN FULL.+I don't have that kind of money right now.+He threatened to sue me.+ME/c his own partner.+He didn't even need the money.,?,He was…never faithfult to me.+At this point I didn't really care anymore but..+Yesterday he was making advances on…some woman in the party.+Right in front of me.+Our marriage was always in shambles but..+To do this right here in front of everyone?!+It's disrespectfult.+We had an argument/c and of course he just denied everything.+That's it.+I didn't want to cause a scene so I kept it to myselft and...+I couldn't sleep next to him that night.+Maybe if I did...,He did have a fight with my husband about something but not sure what.,?
Bear,My father started from nothing.+Built his company from a small shop to a major corporation.+He dedicated his life to his business.,The bear family has beed very kind to me.+They are an example for every man and woman on how you can be kind and successful.,I have been Mr. Bear's physician for/c maybe 10 years now.+They're very hard to deal with.+But they are a good source of income/c if that's what you're asking.,They are…good bosses.+I can't complain.,I only really dealt with Beric.+His son seems to want to do his own thing.+And his wife…+their marriage didn't seem to be going well.,Mr. Bear is a good *oink* boss.+His son and I are friendly.+We go *oink* fishing together sometimes.,Our family.+Me/c Brandon our son/c and..+My dead husband.,Mrs. Bear is very sweet.+We like to go shopping together on the weekends.+I think she's a very classy woman.,The head of the house.+He's the victim.
Beric,My father started from nothing.+Built his company from a small office to a major corporation.+He dedicated his life to his business.,Master Bear is a very wise and kind gentleman.+He can be very strict/c but some people here do need that strictness.,He was definitely my favorite patient.+It was hell to be around him/c true.+But a hypochondriac means consistent business.+Haha…+Well/c not anymore.,He was…nice to me.,Being his partner was profitible but…difficult.+He was very…particular about how he wanted things done.+Can't say I'm glad he's gone though.,He was my *oink* boss.,My late husband.,I didn't really deal with him a lot/c although I get the feeling he was hard to deal with.+You should ask my husband/c he's his business partner.,The head of the house.+He's the victim.
Brandon,I like fishing…,He's a very peculiar person.+He always seems to want to deal with things on his own.+Maybe it's because he doesn't want to be seen as a man who benefited from his father's wealth.,I was onlt Mr. Bear senior's physician.+I don't know much about his son.,He is a good man.+He was always nice to me even if I did something wrong.+He'd even help me fix it.,I only really dealt with Beric.+His son seems to want to do his own thing.,He's my friend.+We go *oink* fishing together sometimes.,My son always despised living in his father's shadow.+He might not say it out loud but he wants to be seen as a success on his own mertis.,I didn't really deal with him a lot/c although I get the feeling he was hard to deal with.,I think he's a good man.+He doesn't talk much.
Berna,My mom is so sweet.+She had to tolerate a lot from my father.+Yet she kept looking forward.,Madam Berna is a sweet woman.+She was a supportive wife to Master Beric and a wonderful mother to Master Brandon.+I can't begin to know how she must be devestated right now.,I was onlt Mr. Bear senior's physician.+I don't know much about his wife.,She…she's sweet but I always felt she did not like me.[r],I only really dealt with Beric.+Although a blind man can see his marriage didn't seem to be going well.,She's a sweet lady.+I don't *oink* know her that well.,That would be me.,She's very sweet.+We like to go shopping together on the weekends.+I think she's a very classy woman.,She's sweet enough/c I suppose.
Cat,The family butler.+I think he shared my father's personality in a sense.+Very particular and a bit harsh on the staff.,That would be me/c sir.,I don't know him much.,He's…Mr. Beric's right hand man in a lot of ways.+He is very loyal to the family and to Mr. Bear especially.,I don't know him much.,I don't know him much.,Caleb is a loyal butler and very helpful.+He share's Beric's way of doing things.,I don't know him much.,He's the butler.+I'm the gardener so I don't deal with him a lot.
Caleb,The family butler.+I think he shared my father's personality in a sense.+Very particular and a bit harsh on the staff.,That would be me/c sir.,I don't know him much.,He's…Mr. Beric's right hand man in a lot of ways.+He is very loyal to the family and to Mr. Bear especially.,I don't know him much.,I don't know him much.,Caleb is a loyal butler and very helpful.+He share's Beric's way of doing things.,I don't know him much.,He's the butler.+I'm the gardener so I don't deal with him a lot.
Jaguar,Kinda creepy to be honest.,She always seems…alert.,*licks lips* It's me,She looks at me in a strange way sometimes.,I don't know her.,I don't know her much *oink*.+I saw her when she came today and her pupils grew *oink*.,She seems to be a good doctor but she's…strange.,I don't know her.,I don't know her much.
Julia,Kinda creepy to be honest.,She always seems…alert.,*licks lips* It's me,She looks at me in a strange way sometimes.,I don't know her.,I don't know her much *oink*.+I saw her when she came today and her pupils grew *oink*.,She seems to be a good doctor but she's…strange.,I don't know her.,I don't know her much.
Rabbit,She's a dedicated maid.+I feel she's not on the best terms with Caleb though.,She's not the brightest of the staff but she's good at her job/c I guess.,*licks lips* WHERE?!+Oh..sorry..I don't know her.,That's me.,I don't know her.,I don't know her.,She's a very good maid.+She's helpful and dedicated.+Which is all you can ask really.,I don't know her.,She's…nice.{f}I did propose to her but I broke it off because…we wouldn't work out.
Rachel,She's a dedicated maid.+I feel she's not on the best terms with Caleb though.,She's not the brightest of the staff but she's good at her job/c I guess.,*licks lips* WHERE?!+Oh..sorry..I don't know her.,That's me.,I don't know her.,I don't know her.,She's a very good maid.+She's helpful and dedicated.+Which is all you can ask really.,I don't know her.,She's…nice.{f}I did propose to her but I broke it off because…we wouldn't work out.
Lizard,I don't like him to be honest.+He's very arrogant.,It's not my place to say but I think he's a bit too full of himself.,I don't know him much.,I don't know him that well.,I am a shrewed businessman.+To be honest Beric owes a lot of his success to me.,He's also my boss *oink*.,He's arrogant and selfish.+I am not sure how Beric got along with him.+Although given their fight yesterday/c I'd guess it was more necessity that anything else.,He's my husband.+An intelligent and hardworking man.,I don't know him much.
Lawrence,I don't like him to be honest.+He's very arrogant.,It's not my place to say but I think he's a bit too full of himself.,I don't know him much.,I don't know him that well.,I am a shrewed businessman.+To be honest Beric owes a lot of his success to me.,He's also my boss *oink*.,He's arrogant and selfish.+I am not sure how Beric got along with him.+Although given their fight yesterday/c I'd guess it was more necessity that anything else.,He's my husband.+An intelligent and hardworking man.,I don't know him much.
Pig,He's very nice once you get to know him.+We like to go fishing together.,He's very strange indeed.+I am not sure why Master Brandon keeps inviting him.+He's always drunk/c late/c or usually both.,I don't know him much.,I don't know him that well.,A pretty good employee.+Always hands things last minute though.,who?+*oink* oh that's me.,He's my son'ts friend and an employee at Bear and Co.,He works for my husband.+You should ask him.,I don't know him much.
Paul,He's very nice once you get to know him.+We like to go fishing together.,He's very strange indeed.+I am not sure why Master Brandon keeps inviting him.+He's always drunk/c late/c or usually both.,I don't know him much.,I don't know him that well.,A pretty good employee.+Always hands things last minute though.,who?+*oink* oh that's me.,He's my son'ts friend and an employee at Bear and Co.,He works for my husband.+You should ask him.,I don't know him much.
Salamander,Lawrence's wife. Don't know her much.+Seems like a nice person.,I don't know her a lot.,Who?,I don't know her well.,My loyal and beautiful wife.+Sara is the love of my life and dedicated helper.,I don't know her well.,She's very nice.+We sometimes go shopping together.,It's meeeeee. Hehe,I don't know her much.
Sara,Lawrence's wife. Don't know her much.+Seems like a nice person.,I don't know her a lot.,Who?,I don't know her well.,My loyal and beautiful wife.+Sara is the love of my life and dedicated helper.,I don't know her well.,She's very nice.+We sometimes go shopping together.,It's meeeeee. Hehe,I don't know her much.
Gnu,Masterful work as a gardener.,He's the gardener.+Very talented but needs some discipline,Who?,Oh..he's very nice.{f}He proposed to me three days ago+ It was his birthday.+We had a relationship for long and…that butler.+Caleb told Master Bear about it.+Yesterday Gustavo broke it off.+Didn't say anything but I am certain Master Bear threatened him somehow.+Certain...+He wouldn't leave me like this.,I don’t know him.,I don’t know him.,He's a very talented gardener.+Beautiful work.,I don't know him much.,That's me.
Gustavo,Masterful work as a gardener.,He's the gardener.+Very talented but needs some discipline,Who?,Oh..he's very nice.{f}He proposed to me three days ago+ It was his birthday.+We had a relationship for long and…that butler.+Caleb told Master Bear about it.+Yesterday Gustavo broke it off.+Didn't say anything but I am certain Master Bear threatened him somehow.+Certain...+He wouldn't leave me like this.,I don’t know him.,I don’t know him.,He's a very talented gardener.+Beautiful work.,I don't know him much.,That's me.
Suspecious,I didn't see anything suspecious.,Nothing suspecious.,I wasn't here yesterday.,Hmmm…+The only thing is that Caleb didn't go with me to the dorms after we finished cleaning the dishes.,I didn't see anything suspecious.,I didn't see anything *oink* suspecious.,Now that you bring it up I did see someone leaving the house at around 3:00 AM.+I assumed it was one of the staff.,I didn't see anything suspecious.,I didn't see anything suspecious.
Journal,?,This is my new journal.+I use it to write important details and reminders.,?,I don't keep one.+Caleb keeps one I think.,?,?,Caleb got a new one from Beric 2 days ago.+Not sure where's the old one.[j],?,?
Old Journal,?,Not sure what you mean.{j}Oh…Master Beric took it a few days ago.+Maybe it's in the bookshelf in his room.[p],?,?,?,?,Caleb got a new one from Beric 2 days ago.+Not sure where's the old one.[j],?,?
missing pages,?,I don't know what you're talking about.{l}These entries were about 3 days ago.+Gustavo proposed to Rachel and she said yes.+I informed Master Beric/c as is my duty.+He…+He flipped out.+He talked to Gustavo and…+I think he ended it.[f],?,?,?,?,?,?,?
missing entries,?,I don't know what you're talking about.{l}These entries were about 3 days ago.+Gustavo proposed to Rachel and she said yes.+I informed Master Beric/c as is my duty.+He…+He flipped out.+He talked to Gustavo and…+I think he ended it.[f],?,?,?,?,?,?,?
Bear and Co Inc,My father's company.+It's a software solutions firm.,Master Bear's company.,Mr. Bear's company.,I think it's the company Master Bear started.,Beric and I started this company from nothing.+Just a couple of computers and a tiny office.,I work IT there *oink*,My late husband's company.+Despite what Lawrence would say he started it alone/c and Lawrence joined in later.,My husband started this company with Mr. Bear ages ago.+I help him around with the designs and stuff.,Master Bear's company I think.
job,I started a small business.+Not in my father's field.,I am the family butler.,I am a doctor.+Mr. Bear's personal physician.,I am the house maid.,Entrepreneur and Berics bus…+former business partner.,I work IT in Bear and Co Inc.,I am a writer.,I help Lawrence with his work.,Gardener.
hobbies,?,?,?,?,?,?,?,?,?
clothes,?,?,?,?,?,?,?,?,?
seat,?,?,?,?,?,?,?,?,?
drink,?,?,?,?,?,?,?,?,?
city,?,?,?,?,?,?,?,?,?
a,?,?,?,?,?,?,?,?,?
aa,?,?,?,?,?,?,?,?,?
aaa,?,?,?,?,?,?,?,?,?
aaron,?,?,?,?,?,?,?,?,?
ab,?,?,?,?,?,?,?,?,?
abandoned,?,?,?,?,?,?,?,?,?
abc,?,?,?,?,?,?,?,?,?
aberdeen,?,?,?,?,?,?,?,?,?
abilities,?,?,?,?,?,?,?,?,?
ability,?,?,?,?,?,?,?,?,?
able,?,?,?,?,?,?,?,?,?
aboriginal,?,?,?,?,?,?,?,?,?
abortion,?,?,?,?,?,?,?,?,?
about,?,?,?,?,?,?,?,?,?
above,?,?,?,?,?,?,?,?,?
abraham,?,?,?,?,?,?,?,?,?
abroad,?,?,?,?,?,?,?,?,?
abs,?,?,?,?,?,?,?,?,?
absence,?,?,?,?,?,?,?,?,?
absent,?,?,?,?,?,?,?,?,?
absolute,?,?,?,?,?,?,?,?,?
absolutely,?,?,?,?,?,?,?,?,?
absorption,?,?,?,?,?,?,?,?,?
abstract,?,?,?,?,?,?,?,?,?
abstracts,?,?,?,?,?,?,?,?,?
abu,?,?,?,?,?,?,?,?,?
abuse,?,?,?,?,?,?,?,?,?
ac,?,?,?,?,?,?,?,?,?
academic,?,?,?,?,?,?,?,?,?
academics,?,?,?,?,?,?,?,?,?
academy,?,?,?,?,?,?,?,?,?
acc,?,?,?,?,?,?,?,?,?
accent,?,?,?,?,?,?,?,?,?
accept,?,?,?,?,?,?,?,?,?
acceptable,?,?,?,?,?,?,?,?,?
acceptance,?,?,?,?,?,?,?,?,?
accepted,?,?,?,?,?,?,?,?,?
accepting,?,?,?,?,?,?,?,?,?
accepts,?,?,?,?,?,?,?,?,?
access,?,?,?,?,?,?,?,?,?
accessed,?,?,?,?,?,?,?,?,?
accessibility,?,?,?,?,?,?,?,?,?
accessible,?,?,?,?,?,?,?,?,?
accessing,?,?,?,?,?,?,?,?,?
accessories,?,?,?,?,?,?,?,?,?
accessory,?,?,?,?,?,?,?,?,?
accident,?,?,?,?,?,?,?,?,?
accidents,?,?,?,?,?,?,?,?,?
accommodate,?,?,?,?,?,?,?,?,?
accommodation,?,?,?,?,?,?,?,?,?
accommodations,?,?,?,?,?,?,?,?,?
accompanied,?,?,?,?,?,?,?,?,?
accompanying,?,?,?,?,?,?,?,?,?
accomplish,?,?,?,?,?,?,?,?,?
accomplished,?,?,?,?,?,?,?,?,?
accordance,?,?,?,?,?,?,?,?,?
according,?,?,?,?,?,?,?,?,?
accordingly,?,?,?,?,?,?,?,?,?
account,?,?,?,?,?,?,?,?,?
accountability,?,?,?,?,?,?,?,?,?
accounting,?,?,?,?,?,?,?,?,?
accounts,?,?,?,?,?,?,?,?,?
accreditation,?,?,?,?,?,?,?,?,?
accredited,?,?,?,?,?,?,?,?,?
accuracy,?,?,?,?,?,?,?,?,?
accurate,?,?,?,?,?,?,?,?,?
accurately,?,?,?,?,?,?,?,?,?
accused,?,?,?,?,?,?,?,?,?
acdbentity,?,?,?,?,?,?,?,?,?
ace,?,?,?,?,?,?,?,?,?
acer,?,?,?,?,?,?,?,?,?
achieve,?,?,?,?,?,?,?,?,?
achieved,?,?,?,?,?,?,?,?,?
achievement,?,?,?,?,?,?,?,?,?
achievements,?,?,?,?,?,?,?,?,?
achieving,?,?,?,?,?,?,?,?,?
acid,?,?,?,?,?,?,?,?,?
acids,?,?,?,?,?,?,?,?,?
acknowledge,?,?,?,?,?,?,?,?,?
acknowledged,?,?,?,?,?,?,?,?,?
acm,?,?,?,?,?,?,?,?,?
